H0_T,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],Point label
0,0,-18.5,NaN,16.9,
0.001,1,-18.8,0.001,16.9,
0.0025,2,-18.8,0.0015,16.9,
0.005,3,-18.9,0.002,16.9,
0.009,4,-18.7,0.0035,16.9,
0.015,5,-18.2,0.0055,16.9,
0.023,6,-16.9,0.0075,16.9,
0.0315,7,-14.9,0.0075,16.9,
0.04,8,-12.4,0.0075,16.9,
0.0485,9,-9.7,0.007,16.9,
0.056,10,-7,0.007,16.9,
0.0645,11,-4,0.0075,16.9,
0.073,12,-0.4,0.0075,16.9,
0.081,13,1.3,0.0075,16.9,
0.0895,14,3.4,0.0075,16.9,
0.098,15,5.2,0.007,16.9,
0.1055,16,6.6,0.007,16.9,
0.114,17,7.9,0.0075,16.9,
0.1225,18,9.2,0.0075,16.9,
0.131,19,10.6,0.0075,16.9,
0.1395,20,11.8,0.0075,16.9,
0.1475,21,12.9,0.0065,16.9,
0.156,22,14,0.0075,16.9,
0.1635,23,14.9,0.007,16.9,
0.172,24,15.8,0.0075,16.9,
0.1805,25,16.6,0.0075,16.9,
0.189,26,17.4,0.0075,16.9,
0.1975,27,18.1,0.007,16.9,
0.205,28,18.7,0.007,16.9,
0.2135,29,19.5,0.0075,16.9,
0.222,30,20.2,0.0075,16.9,
0.2305,31,21,0.0075,16.9,
0.2385,32,21.9,0.0075,16.9,
0.247,33,22.6,0.007,16.9,
0.2545,34,23.2,0.007,16.9,
0.263,35,23.9,0.0075,16.9,
0.2715,36,24.5,0.0075,16.9,
0.28,37,25.2,0.0075,16.9,
0.2885,38,25.9,0.0075,16.9,
0.297,39,26.6,0.007,16.9,
0.3045,40,27.1,0.007,16.9,
0.313,41,27.8,0.0075,16.9,
0.321,42,28.4,0.0075,16.9,
0.3295,43,29.1,0.0075,16.9,
0.338,44,29.7,0.0075,16.9,
0.3465,45,30.4,0.007,16.9,
0.354,46,31.1,0.007,16.9,
0.3625,47,31.8,0.0075,16.9,
0.371,48,32.6,0.0075,16.9,
0.3795,49,33.2,0.0075,16.9,
0.388,50,33.8,0.007,16.9,
0.3955,51,34.4,0.007,16.9,
0.404,52,35.1,0.0075,16.9,
0.412,53,35.8,0.0075,16.9,
0.4205,54,36.4,0.0075,16.9,
0.429,55,37.1,0.0075,16.9,
0.4375,56,37.8,0.0075,16.9,
0.446,57,38.4,0.007,17,
0.4535,58,38.9,0.007,17,
0.462,59,39.6,0.0075,17,
0.4705,60,40.2,0.0075,17,
0.4785,61,40.8,0.0075,17,
0.487,62,41.4,0.0075,17,
0.4955,63,42.1,0.0075,17,
0.503,64,42.7,0.007,17,
0.5115,65,43.2,0.0075,17,
0.52,66,43.8,0.0075,17,
0.5285,67,44.3,0.0075,17,
0.537,68,45,0.007,17,
0.545,69,45.5,0.0075,17,
0.553,70,46.2,0.0075,17,
0.561,71,46.9,0.0075,17,
0.5695,72,47.6,0.0075,17,
0.578,73,48.3,0.0075,17,
0.5865,74,49,0.007,17,
0.594,75,49.4,0.007,17,
0.6025,76,50,0.0075,17,
0.611,77,50.5,0.0075,17,
0.6195,78,51.1,0.0075,17,
0.628,79,51.9,0.0075,17,
0.636,80,52.7,0.0065,17,
0.644,81,53.3,0.0075,17,
0.652,82,54.1,0.0075,17,
0.6605,83,54.7,0.0075,17,
0.669,84,55.3,0.0075,17,
0.6775,85,55.9,0.0075,17,
0.686,86,56.5,0.0075,17,
0.6935,87,57,0.007,17,
0.702,88,57.7,0.0075,17,
0.7105,89,58.4,0.0075,17,
0.719,90,59.1,0.0075,17,
0.7275,91,59.7,0.007,17,
0.735,92,60.1,0.007,17,
0.7435,93,60.7,0.0075,17,
0.7515,94,61.4,0.0075,17,
0.76,95,62.2,0.0075,17,
0.7685,96,63,0.0075,17,
0.777,97,63.9,0.007,17,
0.7845,98,64.6,0.007,17,
0.793,99,65.2,0.0075,17,
0.8015,100,66,0.0075,17,
0.81,101,66.7,0.0075,17,
0.818,102,67.3,0.0075,17,
0.8265,103,68,0.007,17,
0.834,104,68.8,0.007,17,
0.8425,105,69.7,0.0075,17,
0.851,106,70.4,0.0075,17,
0.8595,107,71.2,0.0075,17,
0.868,108,72.4,0.0075,17.1,
0.8765,109,73.4,0.007,17.1,
0.884,110,74,0.007,17.1,
0.8925,111,74.9,0.0075,17,
