Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T434
Scope 1/1, Sample 1/3 (Junk_20180628_inflow_sump)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-55.9,19.1,NaN,,
0.0010,1,-56.0,19.1,0.0010,,
0.0025,2,-56.0,19.1,0.0015,,
0.0050,3,-56.0,19.1,0.0025,,
0.0085,4,-55.9,19.1,0.0030,,
0.0150,5,-55.6,19.1,0.0060,,
0.0230,6,-55.0,19.1,0.0075,,
0.0315,7,-54.0,19.1,0.0085,,
0.0390,8,-52.6,19.1,0.0075,,
0.0475,9,-51.0,19.1,0.0075,,
0.0560,10,-48.9,19.1,0.0075,,
0.0645,11,-46.7,19.2,0.0075,,
0.0730,12,-44.4,19.2,0.0075,,
0.0805,13,-42.1,19.2,0.0075,,
0.0890,14,-39.3,19.1,0.0085,,
0.0970,15,-36.4,19.1,0.0075,,
0.1055,16,-33.4,19.1,0.0075,,
0.1140,17,-30.0,19.1,0.0075,,
0.1225,18,-26.6,19.1,0.0075,,
0.1310,19,-23.6,19.2,0.0085,,
0.1385,20,-20.3,19.2,0.0075,,
0.1470,21,-17.5,19.2,0.0075,,
0.1555,22,-14.9,19.2,0.0075,,
0.1640,23,-12.5,19.2,0.0075,,
0.1720,24,-10.5,19.2,0.0075,,
0.1800,25,-8.9,19.2,0.0080,,
0.1880,26,-7.3,19.2,0.0080,,
0.1965,27,-5.8,19.2,0.0075,,
0.2050,28,-4.3,19.2,0.0075,,
0.2135,29,-2.8,19.2,0.0075,,
0.2220,30,-0.9,19.2,0.0075,,
0.2295,31,0.0,19.2,0.0075,,
0.2380,32,1.0,19.2,0.0075,,
0.2465,33,2.3,19.2,0.0075,,
0.2550,34,3.4,19.2,0.0075,,
0.2630,35,4.6,19.2,0.0075,,
0.2710,36,5.5,19.2,0.0080,,
0.2790,37,6.5,19.2,0.0080,,
0.2875,38,7.4,19.2,0.0075,,
0.2960,39,8.4,19.2,0.0075,,
0.3045,40,9.5,19.2,0.0075,,
0.3130,41,10.8,19.2,0.0075,,
0.3215,42,11.8,19.2,0.0085,,
0.3290,43,12.9,19.2,0.0075,,
0.3375,44,14.0,19.2,0.0075,,
0.3455,45,15.1,19.2,0.0075,,
0.3540,46,16.0,19.2,0.0075,,
0.3625,47,16.9,19.2,0.0075,,
0.3700,48,17.6,19.2,0.0075,,
0.3785,49,18.5,19.2,0.0085,,
0.3870,50,19.4,19.2,0.0075,,
0.3955,51,20.4,19.2,0.0075,,
0.4040,52,21.2,19.2,0.0075,,
0.4125,53,22.1,19.2,0.0085,,
0.4200,54,23.0,19.2,0.0075,,
0.4285,55,23.8,19.2,0.0085,,
0.4365,56,24.8,19.2,0.0075,,
0.4450,57,25.7,19.2,0.0075,,
0.4535,58,26.5,19.2,0.0075,,
0.4620,59,27.2,19.2,0.0085,,
0.4695,60,28.1,19.2,0.0075,,
0.4780,61,29.0,19.2,0.0075,,
0.4865,62,29.9,19.2,0.0075,,
0.4950,63,30.8,19.2,0.0075,,
0.5030,64,31.5,19.2,0.0075,,
0.5115,65,32.3,19.2,0.0075,,
0.5190,66,33.0,19.2,0.0075,,
0.5275,67,33.8,19.2,0.0085,,
0.5360,68,34.8,19.2,0.0075,,
0.5445,69,35.6,19.2,0.0075,,
0.5530,70,36.4,19.2,0.0075,,
0.5605,71,37.2,19.2,0.0075,,
0.5690,72,38.0,19.2,0.0085,,
0.5775,73,38.7,19.2,0.0075,,
0.5860,74,39.5,19.2,0.0075,,
0.5940,75,40.4,19.2,0.0075,,
0.6025,76,41.0,19.2,0.0075,,
0.6100,77,41.7,19.2,0.0075,,
0.6185,78,42.6,19.2,0.0085,,
0.6270,79,43.6,19.2,0.0075,,
0.6355,80,44.5,19.2,0.0075,,
0.6440,81,45.3,19.2,0.0075,,
0.6525,82,46.1,19.2,0.0075,,
0.6600,83,46.9,19.2,0.0075,,
0.6685,84,47.8,19.2,0.0085,,
0.6770,85,48.5,19.2,0.0075,,
0.6850,86,49.2,19.2,0.0075,,
0.6935,87,50.0,19.2,0.0075,,
0.7020,88,50.8,19.2,0.0075,,
0.7095,89,51.5,19.2,0.0075,,
0.7180,90,52.4,19.2,0.0085,,
0.7265,91,53.2,19.2,0.0075,,
0.7350,92,53.9,19.2,0.0075,,
0.7435,93,54.8,19.2,0.0075,,
0.7515,94,55.7,19.2,0.0075,,
0.7595,95,56.4,19.2,0.0080,,
0.7675,96,57.1,19.2,0.0080,,
0.7760,97,58.4,19.2,0.0075,,
0.7845,98,59.1,19.2,0.0075,,
0.7930,99,59.9,19.2,0.0075,,
0.8015,100,60.8,19.2,0.0075,,
0.8090,101,61.6,19.2,0.0075,,
0.8175,102,62.4,19.2,0.0085,,
0.8260,103,63.3,19.2,0.0075,,
0.8345,104,64.2,19.2,0.0075,,
0.8425,105,65.0,19.2,0.0075,,
0.8510,106,65.9,19.2,0.0075,,
0.8585,107,66.6,19.2,0.0075,,
0.8670,108,67.5,19.2,0.0085,,
