Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T745
Scope 1/1, Sample 1/8 (H3_T)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-52.7,19.0,NaN,,
0.0010,1,-52.8,19.0,0.0010,,
0.0025,2,-52.9,19.0,0.0015,,
0.0050,3,-53.0,19.0,0.0025,,
0.0090,4,-52.8,19.0,0.0035,,
0.0150,5,-52.5,19.0,0.0055,,
0.0235,6,-51.8,19.0,0.0075,,
0.0320,7,-50.7,19.0,0.0075,,
0.0395,8,-49.5,19.0,0.0075,,
0.0480,9,-47.8,19.0,0.0085,,
0.0565,10,-46.1,19.0,0.0075,,
0.0650,11,-44.1,19.0,0.0075,,
0.0735,12,-42.0,19.0,0.0075,,
0.0815,13,-40.0,19.0,0.0080,,
0.0895,14,-37.5,19.0,0.0080,,
0.0975,15,-34.8,19.0,0.0075,,
0.1060,16,-31.9,19.0,0.0075,,
0.1145,17,-28.8,19.0,0.0075,,
0.1230,18,-25.7,19.0,0.0075,,
0.1305,19,-22.6,19.0,0.0075,,
0.1390,20,-19.3,19.0,0.0085,,
0.1475,21,-16.0,19.0,0.0075,,
0.1560,22,-12.8,19.0,0.0075,,
0.1645,23,-9.9,19.0,0.0075,,
0.1725,24,-7.3,19.0,0.0075,,
0.1805,25,-5.2,19.0,0.0080,,
0.1885,26,-2.8,19.0,0.0080,,
0.1970,27,-0.3,19.0,0.0075,,
0.2055,28,0.5,19.0,0.0075,,
0.2140,29,2.0,19.0,0.0075,,
0.2225,30,3.4,19.0,0.0075,,
0.2300,31,4.6,19.0,0.0075,,
0.2385,32,5.9,19.0,0.0085,,
0.2470,33,6.9,19.0,0.0075,,
0.2555,34,8.0,19.0,0.0075,,
0.2635,35,9.2,19.0,0.0075,,
0.2720,36,10.3,19.0,0.0075,,
0.2795,37,11.3,19.0,0.0075,,
0.2880,38,12.3,19.0,0.0085,,
0.2965,39,13.3,19.0,0.0075,,
0.3050,40,14.3,19.0,0.0075,,
0.3135,41,15.2,19.0,0.0075,,
0.3210,42,16.0,19.0,0.0075,,
0.3295,43,16.9,19.0,0.0085,,
0.3380,44,17.8,19.0,0.0075,,
0.3465,45,18.7,19.0,0.0075,,
0.3545,46,19.4,19.0,0.0075,,
0.3630,47,20.2,19.0,0.0075,,
0.3715,48,20.9,19.0,0.0085,,
0.3790,49,21.7,19.0,0.0075,,
0.3875,50,22.5,19.0,0.0085,,
0.3960,51,23.3,19.0,0.0075,,
0.4045,52,24.2,19.0,0.0075,,
0.4130,53,25.1,19.0,0.0075,,
0.4205,54,25.8,19.0,0.0075,,
0.4290,55,26.6,19.0,0.0085,,
0.4370,56,27.3,19.0,0.0075,,
0.4455,57,28.1,19.0,0.0075,,
0.4540,58,28.8,19.0,0.0075,,
0.4625,59,29.6,19.0,0.0075,,
0.4710,60,30.2,19.0,0.0085,,
0.4785,61,31.1,19.0,0.0075,,
0.4870,62,31.8,19.0,0.0075,,
0.4955,63,32.5,19.0,0.0075,,
0.5035,64,33.3,19.0,0.0075,,
0.5120,65,34.1,19.0,0.0075,,
0.5195,66,34.9,19.0,0.0075,,
0.5280,67,35.7,19.0,0.0085,,
0.5365,68,36.4,19.0,0.0075,,
0.5450,69,37.3,19.0,0.0075,,
0.5535,70,38.1,19.0,0.0075,,
0.5620,71,38.8,19.0,0.0075,,
0.5695,72,39.4,19.0,0.0075,,
0.5780,73,40.2,19.0,0.0085,,
0.5860,74,41.0,19.0,0.0075,,
0.5945,75,41.8,19.0,0.0075,,
0.6030,76,42.6,19.0,0.0075,,
0.6115,77,43.3,19.0,0.0075,,
0.6190,78,44.0,19.0,0.0075,,
0.6275,79,44.7,19.0,0.0085,,
0.6360,80,45.4,19.0,0.0075,,
0.6445,81,46.1,19.0,0.0075,,
0.6530,82,46.8,19.0,0.0075,,
0.6615,83,47.5,19.0,0.0085,,
0.6690,84,48.3,19.0,0.0075,,
0.6775,85,49.0,19.1,0.0075,,
0.6855,86,49.9,19.1,0.0075,,
0.6940,87,50.6,19.1,0.0075,,
0.7025,88,51.4,19.1,0.0075,,
0.7100,89,52.1,19.1,0.0075,,
0.7185,90,52.8,19.1,0.0085,,
0.7270,91,53.7,19.1,0.0075,,
0.7355,92,54.4,19.1,0.0075,,
0.7440,93,55.2,19.1,0.0075,,
0.7520,94,56.0,19.1,0.0075,,
0.7605,95,56.8,19.1,0.0085,,
0.7680,96,57.6,19.1,0.0075,,
0.7765,97,58.3,19.1,0.0075,,
0.7850,98,59.1,19.1,0.0075,,
0.7935,99,60.0,19.1,0.0075,,
0.8020,100,60.8,19.1,0.0075,,
0.8095,101,61.7,19.1,0.0075,,
0.8180,102,62.6,19.1,0.0085,,
0.8265,103,63.5,19.1,0.0075,,
0.8345,104,64.4,19.1,0.0075,,
0.8430,105,65.2,19.1,0.0075,,
0.8515,106,66.1,19.1,0.0075,,
0.8600,107,66.8,19.1,0.0085,,
0.8675,108,67.7,19.1,0.0075,,
0.8760,109,68.7,19.1,0.0075,,
0.8845,110,69.6,19.1,0.0075,,
0.8930,111,70.5,19.1,0.0075,,
0.9015,112,71.5,19.1,0.0075,,
0.9090,113,72.4,19.1,0.0075,,
0.9175,114,73.5,19.1,0.0085,,
0.9255,115,74.4,19.1,0.0075,,
0.9340,116,75.6,19.1,0.0075,,
0.9425,117,76.7,19.1,0.0075,,
0.9510,118,77.9,19.1,0.0075,,
0.9595,119,78.9,19.1,0.0085,,
0.9670,120,80.0,19.1,0.0075,,
0.9755,121,81.3,19.1,0.0075,,
0.9840,122,82.3,19.1,0.0075,,
0.9920,123,83.6,19.1,0.0075,,
1.0005,124,85.0,19.1,0.0075,,
1.0080,125,86.2,19.1,0.0075,,
1.0165,126,87.4,19.1,0.0085,,
1.0250,127,88.7,19.1,0.0075,,
1.0335,128,90.0,19.1,0.0075,,
1.0420,129,91.5,19.1,0.0075,,
1.0505,130,93.2,19.1,0.0075,,
1.0580,131,94.7,19.1,0.0075,,
1.0665,132,96.3,19.1,0.0085,,
1.0745,133,98.3,19.1,0.0075,,
1.0830,134,100.4,19.1,0.0075,,
1.0915,135,102.2,19.1,0.0075,,
1.1000,136,104.1,19.1,0.0075,,
1.1075,137,105.6,19.1,0.0075,,
1.1160,138,107.8,19.1,0.0085,,
1.1245,139,110.5,19.1,0.0075,,
1.1330,140,113.3,19.1,0.0075,,
1.1410,141,116.3,19.1,0.0075,,
1.1495,142,119.0,19.1,0.0075,,
