Measurement Name :,20190116_resp_2,,Generated On :,"16/01/2019, 18:12:18",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
16.01.19 17:49:46,0.03,382.41,379.11,379.11,375.83,381.31,397.33,389.57,381.31,392.34,366.03,405.15,380.76,372.55,402.91,397.33,405.71,451.92,444.39,336.03,374.74,394,397.33,360.62,387.36,,8.5,968,28,8,
16.01.19 17:50:01,0.28,377.47,374.74,378.02,373.65,382.96,395.67,387.36,383.51,385.16,364.95,407.39,379.11,370.38,400.12,398.45,399.56,444.96,434.03,336.56,376.92,391.23,391.78,357.38,385.16,,8.5,968,28,8.16,
16.01.19 17:50:16,0.53,368.74,368.74,368.2,367.66,376.38,389.02,383.51,379.11,364.95,359.54,400.68,373.65,365.49,391.78,393.45,392.89,434.03,426.6,332.34,373.65,385.16,381.86,352.55,374.19,,8.5,968,28,8.29,
16.01.19 17:50:31,0.78,361.16,358.46,362.78,361.16,373.1,382.96,379.11,377.47,361.7,355.77,394.56,372.01,360.08,390.12,388.47,395.67,427.74,423.76,329.17,369.83,384.06,374.74,349.33,371.46,,8.5,968,28,8.38,
16.01.19 17:50:47,1.05,359.54,361.16,362.24,357.92,372.55,385.16,378.57,380.76,363.86,352.01,391.78,364.95,358.46,381.86,385.16,397.33,424.33,419.79,328.65,368.2,380.21,371.46,347.2,368.2,,8.5,968,28,8.5,
16.01.19 17:51:02,1.3,358.46,355.77,357.92,353.08,372.01,382.96,376.38,374.74,361.7,352.55,389.02,364.95,355.23,381.31,384.06,395.67,416.39,418.09,323.92,366.57,370.92,367.66,346.13,367.66,,8.5,968,28,8.57,
16.01.19 17:51:17,1.55,353.08,355.77,354.69,351.48,369.29,380.21,375.28,374.19,360.08,350.4,388.47,362.24,351.48,376.38,380.76,394,410.19,410.19,319.74,362.78,367.66,363.86,344,367.11,,8.5,968,28,8.66,
16.01.19 17:51:32,1.8,366.57,364.4,366.57,353.08,376.92,386.81,380.76,380.21,376.92,358.46,393.45,366.57,363.32,384.06,380.76,396.78,419.79,423.19,324.45,364.95,378.02,367.66,345.6,364.4,,8.5,968,28,8.77,
16.01.19 17:51:47,2.05,364.95,362.24,364.4,348.8,375.83,385.71,380.76,378.57,374.19,357.38,390.12,366.57,360.62,382.41,378.57,395.67,415.83,416.39,321.83,363.32,375.83,366.03,344.53,363.86,,8.5,968,28,8.84,
16.01.19 17:52:02,2.3,362.24,361.16,360.08,347.2,374.74,384.61,378.02,376.92,372.01,355.77,386.81,363.86,357.92,380.76,374.19,392.34,411.32,410.19,321.31,362.24,373.65,364.4,342.4,361.7,,8.5,968,28,8.93,
16.01.19 17:52:17,2.55,364.4,363.32,361.16,345.6,378.02,387.91,379.11,376.92,374.19,357.92,386.81,364.95,360.08,382.96,372.01,394.56,411.88,406.83,323.4,361.16,376.38,366.57,344,362.24,,8.5,968,28,9.02,
16.01.19 17:52:32,2.8,361.7,362.24,360.08,345.06,378.02,387.36,378.02,375.28,372.01,356.31,384.61,364.95,357.38,382.96,367.11,393.45,409.07,401.23,318.7,359.54,375.28,365.49,342.4,359,,8.5,968,28,9.07,
16.01.19 17:52:47,3.05,360.08,358.46,357.92,341.34,376.38,384.61,376.38,373.1,368.2,355.23,380.76,362.24,354.69,381.31,363.86,392.34,405.15,396.22,316.09,356.85,372.55,363.32,339.74,356.31,,8.5,968,28,9.16,
16.01.19 17:53:02,3.3,354.69,353.62,353.08,336.56,370.38,379.66,372.01,367.66,363.32,350.4,376.92,357.38,349.33,375.83,359,387.91,398.45,387.91,311.41,352.55,367.66,356.85,335.5,352.01,,8.5,968,28,9.21,
16.01.19 17:53:17,3.55,353.08,352.55,353.08,334.45,370.38,381.31,370.92,367.11,361.16,349.87,374.19,357.38,348.26,375.83,359,386.81,395.11,384.06,310.38,351.48,368.2,356.31,335.5,349.87,,8.5,968,28,9.27,
16.01.19 17:53:32,3.8,353.62,352.55,350.4,336.03,372.01,381.31,371.46,365.49,361.7,349.87,374.74,356.31,347.2,376.38,356.31,386.26,394,379.66,307.27,347.73,369.29,356.31,334.98,347.73,,8.5,968,28,9.36,
16.01.19 17:53:47,4.05,349.87,346.66,345.6,331.81,367.66,378.57,369.29,361.16,357.92,347.2,369.29,354.16,344,373.1,353.62,384.61,388.47,375.28,307.27,347.2,366.57,352.01,333.39,345.6,,8.5,968,28,9.43,
16.01.19 17:54:02,4.3,346.66,343.46,342.93,329.7,369.29,376.92,367.66,361.16,356.31,345.06,369.83,352.55,339.74,372.55,352.01,383.51,385.71,373.65,307.27,346.13,366.03,352.01,332.34,343.46,,8.5,968,28,9.5,
16.01.19 17:54:17,4.55,334.45,336.03,331.28,327.6,362.24,373.1,361.16,350.4,339.74,338.68,361.7,347.2,328.12,365.49,347.73,383.51,377.47,366.03,300.06,344.53,362.78,350.4,329.7,340.27,,8.5,968,28,9.53,
16.01.19 17:54:32,4.8,333.39,337.62,329.7,328.12,358.46,370.92,356.85,345.6,338.15,334.98,361.16,344.53,325.5,363.86,344.53,381.31,374.74,360.62,295.44,340.27,359,345.6,326.02,338.15,,8.5,968,28,9.59,
16.01.19 17:54:47,5.05,337.62,339.21,332.34,328.65,361.7,375.28,357.92,346.66,342.4,339.21,362.78,345.06,328.12,365.49,345.6,379.66,378.02,362.78,296.98,342.93,369.29,345.6,327.07,337.62,,8.5,968,28,9.63,
16.01.19 17:55:02,5.3,332.86,333.92,330.23,324.45,356.85,370.92,356.85,344.53,337.62,336.03,359,342.4,323.4,360.08,342.4,375.83,373.65,356.85,296.47,332.34,364.95,341.34,324.45,332.34,,8.5,968,28,9.7,
16.01.19 17:55:17,5.55,335.5,336.56,332.34,326.55,359.54,374.19,354.16,345.06,339.21,338.15,359.54,342.4,324.97,362.78,342.4,375.83,375.28,359,293.4,336.56,367.11,343.46,326.55,336.03,,8.5,968,28,9.73,
16.01.19 17:55:32,5.8,333.39,336.03,331.81,326.55,359,373.65,353.08,342.4,337.62,337.09,359,341.34,323.4,361.7,341.34,375.28,373.1,356.85,289.83,328.65,366.03,342.93,325.5,331.28,,8.5,968,28,9.77,
16.01.19 17:55:47,6.05,327.6,329.17,328.65,321.31,353.62,369.29,348.8,339.21,332.34,333.39,355.23,337.62,318.17,357.38,337.62,372.01,368.74,349.87,285.76,327.6,360.62,337.62,322.88,327.07,,8.5,968,28,9.82,
16.01.19 17:56:02,6.3,327.07,329.17,328.65,321.31,353.08,369.29,348.8,338.15,331.81,333.39,355.23,337.62,317.65,357.92,337.09,372.55,367.66,348.8,285.76,325.5,360.08,337.62,321.83,327.07,,8.5,968,28,9.86,
16.01.19 17:56:17,6.55,329.17,332.34,328.65,323.4,356.31,372.01,348.26,339.21,332.34,334.98,353.08,337.09,318.7,360.08,336.56,372.55,368.74,350.4,286.77,327.6,362.24,339.21,322.35,326.55,,8.5,968,28,9.87,
16.01.19 17:56:32,6.8,328.12,331.81,328.12,321.83,355.77,371.46,348.26,339.21,331.81,334.98,352.55,336.56,317.13,360.08,336.03,372.01,368.2,349.33,286.27,323.92,361.7,338.15,320.78,326.02,,8.5,968,28,9.91,
16.01.19 17:56:47,7.05,327.07,331.28,327.6,321.31,354.69,371.46,347.73,338.68,329.7,334.45,349.87,337.09,316.09,359.54,334.45,373.1,367.11,348.26,286.27,322.35,360.62,337.62,319.22,324.97,,8.5,968,28,9.95,
16.01.19 17:57:02,7.3,325.5,330.75,326.55,320.78,353.62,371.46,347.73,338.15,328.65,334.45,352.01,334.98,315.05,359.54,333.39,373.65,366.03,346.13,283.22,321.31,360.08,337.09,317.65,323.92,,8.5,968,28,9.98,
16.01.19 17:57:17,7.55,323.92,329.7,325.5,318.7,352.55,370.38,345.6,337.62,327.07,333.39,348.8,334.45,313.49,358.46,331.81,371.46,364.4,345.06,280.19,320.26,359,334.45,316.09,322.88,,8.5,968,28,10.02,
16.01.19 17:57:32,7.8,318.7,324.45,322.88,314.53,347.2,366.03,343.46,334.45,322.88,330.23,344,331.28,309.34,355.23,328.65,367.11,360.62,339.21,275.65,317.65,353.62,330.75,314.01,319.74,,8.5,968,28,10.05,
16.01.19 17:57:47,8.05,317.13,322.35,321.83,312.97,346.13,365.49,341.87,334.45,320.26,328.12,344,330.23,307.79,353.62,326.55,366.03,357.92,336.56,272.63,315.57,352.55,330.23,312.97,318.7,,8.5,968,28,10.07,
16.01.19 17:58:02,8.3,316.09,322.35,320.78,311.93,346.13,364.4,342.4,333.92,319.74,328.65,343.46,329.7,307.27,353.62,328.65,366.57,357.92,337.09,270.12,314.53,350.94,329.17,312.97,317.65,,8.5,968,28,10.09,
16.01.19 17:58:17,8.55,318.7,325.5,322.88,314.01,348.8,368.2,341.34,336.56,323.4,331.28,344,331.81,309.34,357.38,329.7,368.2,360.08,339.21,270.62,316.09,354.16,330.75,313.49,318.7,,8.5,968,28,10.12,
16.01.19 17:58:32,8.8,312.45,320.78,318.7,310.38,344,363.86,339.21,333.39,318.17,327.07,339.74,324.97,303.66,352.55,327.07,363.86,355.77,333.92,265.62,311.93,348.8,326.55,314.53,315.57,,8.5,968,28,10.16,
16.01.19 17:58:47,9.05,311.93,319.74,318.7,308.82,343.46,363.86,337.09,332.34,316.61,327.07,338.15,323.92,303.66,352.55,326.55,364.4,354.16,333.39,264.62,311.93,346.66,326.02,313.49,315.57,,8.5,968,28,10.16,
16.01.19 17:59:02,9.3,314.01,323.4,320.26,311.41,346.13,367.11,338.68,332.86,318.7,329.17,341.34,324.45,306.24,355.77,327.6,367.11,356.85,335.5,265.12,311.93,350.4,329.17,315.05,316.09,,8.5,968,28,10.2,
16.01.19 17:59:17,9.55,311.41,321.83,318.17,309.34,344.53,366.57,338.68,331.81,316.61,328.12,339.74,322.88,304.18,354.16,327.6,366.03,355.23,333.92,263.62,311.93,348.26,326.02,314.01,314.53,,8.5,968,28,10.21,
16.01.19 17:59:32,9.8,311.41,321.83,318.17,308.31,344.53,365.49,339.74,330.75,316.61,328.65,338.68,321.83,304.18,355.23,327.6,366.03,354.69,333.39,263.12,311.93,348.26,326.02,310.38,314.01,,8.5,968,28,10.22,
16.01.19 17:59:47,10.05,309.86,320.78,317.13,307.79,344,365.49,338.15,329.17,315.57,327.07,337.62,322.35,302.63,354.16,328.12,364.95,353.08,332.34,261.13,311.93,347.2,324.45,313.49,311.93,,8.5,968,28,10.23,
16.01.19 18:00:02,10.3,305.21,316.09,315.05,305.21,339.74,361.7,337.09,324.97,310.9,323.4,334.45,321.31,298.52,349.87,326.55,362.24,349.33,327.6,260.63,310.9,341.87,321.31,308.82,308.31,,8.5,968,28,10.25,
16.01.19 18:00:17,10.55,307.27,319.74,316.61,306.76,342.93,364.95,338.15,325.5,312.45,326.02,336.03,322.35,301.09,353.62,327.6,364.4,352.01,330.23,264.12,315.57,344.53,322.88,312.45,307.79,,8.5,968,28,10.27,
16.01.19 18:00:32,10.8,305.72,318.17,316.09,305.72,341.87,364.4,336.03,323.4,310.9,324.97,334.98,321.83,300.06,353.08,327.07,363.86,350.94,329.17,263.12,314.53,344,321.83,311.41,306.76,,8.5,968,28,10.28,
16.01.19 18:00:47,11.05,301.09,312.97,312.97,303.66,336.56,359.54,332.86,318.7,306.24,320.26,330.75,318.7,295.44,348.26,323.92,359,346.13,324.45,260.63,308.31,337.62,317.13,308.31,305.21,,8.5,968,28,10.29,
16.01.19 18:01:02,11.3,304.18,317.65,314.53,305.21,341.34,363.86,335.5,319.74,308.31,323.4,332.86,321.83,298.52,352.55,326.02,361.7,349.33,327.6,263.12,310.9,341.87,320.78,309.34,305.72,,8.5,968,28,10.32,
16.01.19 18:01:17,11.55,299.55,312.45,311.93,300.57,336.03,359,333.92,315.05,303.15,318.7,328.12,320.26,294.93,347.73,323.4,359,345.06,322.88,263.12,308.31,336.56,316.09,303.66,301.6,,8.5,968,28,10.32,
16.01.19 18:01:32,11.8,298.52,310.9,311.41,300.57,334.98,359,332.86,314.53,302.63,317.65,329.7,319.22,293.4,347.73,323.92,357.92,344.53,320.78,263.62,308.82,334.98,315.05,305.21,300.57,,8.5,968,28,10.34,
16.01.19 18:01:47,12.05,298.01,310.9,310.9,300.06,334.98,357.92,332.86,312.97,301.09,316.09,329.17,317.65,293.4,347.2,323.4,357.38,343.46,320.78,265.62,307.27,334.45,314.53,304.69,298.52,,8.5,968,28,10.36,
16.01.19 18:02:02,12.3,299.03,313.49,311.41,299.55,337.09,361.7,335.5,314.01,303.15,317.65,328.65,317.13,294.42,349.87,323.92,358.46,346.13,322.35,268.12,308.31,336.56,316.61,305.21,300.57,,8.5,968,28,10.36,
16.01.19 18:02:17,12.55,299.55,314.01,311.41,300.57,337.62,361.16,334.45,312.97,303.15,317.65,329.17,317.65,294.93,350.94,323.4,358.46,346.13,322.88,269.62,307.27,337.09,316.09,305.21,300.57,,8.5,968,28,10.36,
16.01.19 18:02:32,12.8,294.93,308.31,309.34,297.49,332.86,356.85,334.45,310.38,298.52,314.01,328.12,314.01,290.85,346.13,320.78,356.31,342.4,317.13,266.62,304.69,331.81,311.93,301.6,298.52,,8.5,968,28,10.37,
16.01.19 18:02:47,13.05,296.98,311.93,310.38,298.01,336.56,361.16,336.03,311.41,301.6,316.61,328.65,315.05,293.91,349.87,325.5,357.92,345.06,321.31,269.62,307.27,335.5,315.05,302.12,299.55,,8.5,968,28,10.37,
16.01.19 18:03:02,13.3,295.96,311.93,309.34,298.01,335.5,360.08,338.68,310.9,300.06,316.09,327.07,314.53,292.89,349.33,325.5,356.85,344,320.26,269.12,304.18,334.45,314.53,302.12,298.52,,8.5,968,28,10.39,
16.01.19 18:03:18,13.57,291.36,307.27,307.79,295.44,331.28,356.31,332.34,307.27,295.96,310.9,324.45,310.9,288.3,345.06,320.78,354.69,340.27,315.05,266.12,304.18,328.12,310.38,299.03,295.96,,8.5,968,28,10.39,
16.01.19 18:03:33,13.82,294.42,309.86,308.82,296.47,334.45,360.08,333.92,308.82,298.01,314.01,327.07,311.41,291.36,348.8,322.35,356.85,342.4,318.7,269.62,303.15,332.86,312.97,300.06,296.98,,8.5,968,28,10.39,
16.01.19 18:03:48,14.07,292.89,309.34,307.79,296.47,332.86,359,331.81,309.34,296.47,312.45,324.45,309.86,289.83,348.26,319.74,355.23,341.87,317.65,268.62,301.6,332.34,311.93,295.96,295.96,,8.5,968,28,10.41,
16.01.19 18:04:03,14.32,288.81,305.21,305.72,294.42,329.17,355.23,328.12,307.27,292.38,308.82,321.31,307.27,286.27,344,317.13,353.08,337.62,312.97,261.63,301.09,327.07,307.79,293.4,293.91,,8.5,968,28,10.41,
16.01.19 18:04:18,14.57,291.36,308.82,306.76,296.47,332.86,359,329.7,309.86,294.93,311.41,324.45,308.31,289.83,348.26,317.65,355.23,340.81,316.61,262.63,301.6,330.75,311.93,294.42,295.96,,8.5,968,28,10.41,
16.01.19 18:04:33,14.82,290.34,307.79,305.72,295.44,332.34,357.92,328.12,309.34,293.4,309.34,324.45,306.76,288.81,347.73,316.09,353.62,339.74,315.57,255.67,298.01,328.65,310.38,293.91,294.93,,8.5,968,28,10.41,
16.01.19 18:04:48,15.07,285.76,303.15,303.66,291.87,328.12,354.69,324.97,305.72,289.32,304.69,322.88,304.69,284.74,342.93,311.93,350.4,336.56,310.9,253.2,299.03,324.97,306.76,291.36,292.38,,8.5,968,28,10.41,
16.01.19 18:05:03,15.32,288.3,307.27,304.69,293.91,331.81,357.38,326.55,307.27,291.87,307.79,323.4,304.69,287.28,346.66,311.93,352.55,339.21,314.01,253.2,296.47,328.12,309.34,292.89,293.91,,8.5,968,28,10.41,
16.01.19 18:05:18,15.57,287.79,306.76,304.69,293.91,330.75,357.92,323.92,307.79,291.87,307.27,323.4,304.18,287.28,346.66,310.38,351.48,338.68,312.45,251.72,295.96,328.12,309.34,292.38,293.4,,8.5,968,28,10.41,
16.01.19 18:05:33,15.82,286.27,305.21,303.66,291.36,329.7,356.31,321.83,308.31,290.34,305.21,322.88,302.63,286.27,346.13,308.31,350.94,337.09,310.38,249.74,295.44,326.55,307.79,290.85,291.87,,8.5,968,28,10.41,
16.01.19 18:05:48,16.07,285.25,304.69,303.15,290.34,329.7,356.31,320.78,307.27,289.83,304.69,321.31,302.12,286.27,346.13,307.79,351.48,337.09,309.34,248.76,294.93,326.02,307.27,290.85,290.85,,8.5,968,28,10.41,
16.01.19 18:06:03,16.32,280.69,300.57,300.57,287.79,325.5,352.55,319.22,306.76,285.25,299.55,318.7,299.55,281.2,340.81,303.15,348.8,332.86,305.21,245.81,291.36,320.26,303.66,288.81,288.81,,8.5,968,28,10.41,
16.01.19 18:06:18,16.57,280.19,300.06,300.57,286.77,324.97,351.48,318.17,304.18,283.73,299.55,320.78,299.03,282.21,341.87,303.15,348.8,332.86,304.18,245.81,293.91,321.31,303.15,288.3,288.3,,8.5,968,28,10.41,
16.01.19 18:06:33,16.82,279.68,300.06,300.06,286.27,324.97,350.94,317.65,304.69,283.73,298.52,319.74,298.01,281.2,341.87,303.15,347.73,331.81,303.15,245.32,291.36,320.26,302.12,287.79,287.28,,8.5,968,28,10.39,
16.01.19 18:06:48,17.07,278.67,299.03,299.55,285.25,322.88,350.4,316.09,302.12,282.72,297.49,317.13,297.49,280.19,340.81,302.63,345.6,331.28,301.09,244.33,290.34,319.22,301.09,286.77,285.76,,8.5,968,28,10.41,
16.01.19 18:07:03,17.32,281.2,303.15,301.09,284.74,326.55,353.62,316.61,304.18,284.74,300.57,318.17,299.55,283.73,344,303.66,351.48,333.92,303.15,245.81,291.36,322.35,304.18,287.79,286.77,,8.5,968,28,10.41,
16.01.19 18:07:18,17.57,279.18,301.09,300.06,283.22,324.97,352.01,315.05,302.63,282.72,299.55,317.65,299.03,282.21,342.93,303.15,346.66,332.86,301.09,243.35,289.32,320.26,302.63,286.77,284.24,,8.5,968,28,10.39,
16.01.19 18:07:33,17.82,275.14,298.01,298.52,282.21,321.83,349.33,314.01,297.49,279.68,296.98,316.61,297.49,279.68,340.27,301.09,345.06,329.7,298.01,240.41,290.34,316.09,299.55,285.25,282.72,,8.5,968,28,10.41,
16.01.19 18:07:48,18.07,278.17,301.6,300.06,283.22,326.02,353.08,315.57,298.52,282.72,300.06,318.17,300.06,282.21,344,302.63,352.01,332.34,301.09,240.9,288.81,319.74,302.12,287.28,284.24,,8.5,968,28,10.41,
16.01.19 18:08:03,18.32,273.13,296.98,297.49,281.2,320.26,349.33,312.45,295.44,278.17,296.47,316.61,299.03,278.17,338.68,300.06,349.87,328.65,296.47,237.48,286.77,315.57,298.01,285.25,285.25,,8.5,968,28,10.39,
16.01.19 18:08:18,18.57,272.13,296.47,296.47,280.69,320.26,347.73,312.97,294.93,277.16,296.47,315.57,300.06,278.17,339.21,300.06,348.8,328.65,295.96,237,285.76,314.53,297.49,284.24,282.21,,8.5,968,28,10.41,
16.01.19 18:08:33,18.82,271.12,295.96,296.47,278.17,319.74,347.2,311.93,291.87,276.65,296.47,314.01,300.57,277.66,338.15,300.06,347.73,327.6,294.42,236.51,287.28,313.49,297.49,282.72,281.7,,8.5,968,28,10.39,
16.01.19 18:08:48,19.07,274.14,300.06,298.01,280.19,323.92,352.01,313.49,294.42,279.68,300.57,315.05,302.12,281.2,342.4,302.63,351.48,330.75,298.52,237.48,287.28,318.17,300.57,284.24,284.24,,8.5,968,28,10.39,
16.01.19 18:09:03,19.32,272.63,300.06,297.49,279.18,323.92,351.48,313.49,293.91,278.67,300.57,314.53,300.57,280.69,342.4,302.63,350.4,329.7,297.49,237,286.77,317.65,300.06,283.73,282.72,,8.5,968,28,10.37,
16.01.19 18:09:18,19.57,268.62,294.93,295.96,277.16,318.7,346.66,310.38,291.36,275.14,297.49,311.41,298.01,276.65,338.15,301.6,349.87,326.55,293.4,235.05,283.73,313.49,296.47,281.2,281.7,,8.5,968,28,10.39,
16.01.19 18:09:33,19.82,266.62,294.42,295.44,274.14,317.65,346.13,310.38,290.85,273.63,296.98,310.38,298.01,276.65,336.56,301.6,348.26,326.02,291.87,234.07,283.22,311.41,295.44,280.69,282.21,,8.5,968,28,10.37,
16.01.19 18:09:48,20.07,270.12,298.01,296.47,276.65,321.83,350.4,312.45,292.38,276.65,301.09,312.45,298.52,279.68,341.34,303.15,350.4,328.65,295.96,235.53,284.74,316.61,299.03,282.72,280.69,,8.5,968,28,10.37,
16.01.19 18:10:03,20.32,269.62,298.01,295.44,276.65,321.31,350.4,312.45,291.36,275.65,299.55,312.45,297.49,279.68,340.81,301.09,348.8,328.12,294.93,235.05,284.24,316.09,298.01,281.7,279.68,,8.5,968,28,10.36,
16.01.19 18:10:18,20.57,268.62,297.49,294.42,276.65,320.78,349.33,311.93,291.36,275.14,296.98,310.38,296.47,279.18,340.81,301.09,349.87,327.07,294.42,235.05,284.24,315.05,298.01,281.7,278.67,,8.5,968,28,10.36,
16.01.19 18:10:33,20.82,267.62,296.98,293.91,275.65,319.74,349.33,310.9,292.89,274.14,294.93,309.34,295.96,278.67,340.81,300.06,349.87,327.6,293.4,235.05,282.72,315.05,295.44,280.69,278.17,,8.5,968,28,10.36,
16.01.19 18:10:48,21.07,267.12,297.49,293.91,275.65,320.26,349.33,310.9,291.36,273.63,292.89,308.31,294.42,279.18,340.27,300.57,349.33,326.55,293.4,234.56,281.7,314.53,292.89,280.69,278.17,,8.5,968,28,10.34,
16.01.19 18:11:03,21.32,266.62,296.98,292.38,275.14,318.7,348.8,311.41,293.91,272.63,291.36,308.31,292.38,278.17,339.74,300.06,348.26,326.55,292.38,234.07,280.69,314.01,289.83,280.19,277.66,,8.5,968,28,10.34,
16.01.19 18:11:18,21.57,266.12,296.98,291.87,274.64,319.22,347.73,310.9,294.42,271.62,290.85,309.34,292.38,279.18,339.74,299.03,347.73,326.02,291.87,234.56,279.68,313.49,288.3,278.67,279.18,,8.5,968,28,10.34,
16.01.19 18:11:33,21.82,262.13,291.36,288.3,272.63,314.01,342.93,308.82,293.91,267.62,286.27,305.21,289.83,275.14,334.98,299.03,346.13,322.35,287.28,232.62,277.66,308.82,283.73,276.15,271.62,,8.5,968,28,10.34,
16.01.19 18:11:48,22.07,265.12,295.96,289.83,273.63,318.17,347.2,311.93,295.44,270.12,291.36,307.79,290.34,278.67,338.68,298.52,347.2,324.97,290.85,234.56,279.18,312.45,286.27,277.66,272.63,,8.5,968,28,10.32,
